Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
10000;3452;3049
10004;3455;3019
10008;3468;2991
10011;3483;2959
10015;3487;2937
10019;3500;2904
10022;3512;2877
10026;3527;2857
10029;3531;2826
10033;3544;2794
10037;3548;2776
10040;3559;2744
10044;3561;2702
10048;3564;2681
10051;3567;2664
10055;3578;2621
10059;3582;2606
10062;3593;2588
10066;3599;2558
10070;3609;2526
10073;3610;2511
10077;3613;2464
10081;3624;2447
10084;3628;2412
10088;3631;2381
10091;3640;2332
10095;3642;2297
10099;3643;2264
10102;3655;2203
10106;3657;2156
10110;3660;2119
10113;3671;2063
10117;3674;2046
10121;3676;1982
10124;3688;1936
10128;3689;1887
10132;3693;1849
10135;3703;1784
10139;3706;1741
10142;3710;1689
10146;3722;1608
10150;3725;1488
10153;3735;1386
10157;3738;1295
10161;3741;1213
10164;3743;1147
10168;3752;1084
10172;3755;1000
10175;3758;971
10179;3769;968
10183;3772;960
10186;3775;957
10190;3784;954
10194;3787;953
10197;3789;952
10201;3791;943
10204;3802;941
10208;3803;939
10212;3807;940
10215;3815;938
10219;3818;936
10223;3821;928
10226;3821;927
10230;3831;924
10234;3833;924
10237;3847;922
10241;3848;919
10245;3852;911
10248;3853;909
10252;3864;909
10255;3867;907
10259;3870;904
10263;3872;894
10266;3881;891
10270;3884;888
10274;3887;877
10277;3896;874
10281;3899;860
10285;3903;845
10288;3912;832
10292;3914;823
10296;3915;799
10299;3926;780
10303;3928;759
10307;3932;732
10310;3934;701
10314;3943;667
10317;3944;631
10321;3946;587
10325;3949;543
10328;3950;504
10332;3960;460
10336;3962;413
10339;3968;366
10343;3977;315
10347;3982;252
10350;3993;218
10354;3996;202
10358;4008;124
10361;4014;79
10365;4015;72
10369;4025;57
10372;4027;44
10376;4027;42
10379;4030;39
10383;4038;33
10387;4040;25
10390;4040;23
10394;4043;23
10398;4043;21
10401;4043;21
10405;4043;19
10409;4044;18
10412;4044;17
10416;4044;17
10420;4042;9
10423;4044;7
10427;4041;8
10430;4039;8
10434;4030;6
10438;4028;7
10441;4026;7
10445;4014;3
10449;4010;5
10452;3996;5
10456;3981;4
10460;3963;2
10463;3945;3
10467;3912;4
10471;3884;3
10474;3854;3
10478;3836;5
10482;3802;2
10485;3787;3
10489;3744;1
10492;3692;1
10496;3625;4
10500;3550;2
10503;3486;4
10507;3435;2
10511;3387;5
10514;3372;2
10518;3367;3
10522;3307;4
10525;3240;3
10529;3192;4
10533;3117;2
10536;3063;3
10540;3003;2
10543;2953;4
10547;2873;3
10551;2815;1
10554;2764;4
10558;2730;2
10562;2655;4
10565;2624;2
10569;2601;3
10573;2554;2
10576;2475;3
10580;2393;2
10584;2255;3
10587;2158;3
10591;2078;2
10595;1997;2
10598;1981;4
10602;1882;3
10605;1803;2
10609;1694;1
10613;1579;2
10616;1434;3
10620;1326;2
10624;1209;4
10627;1080;3
10631;1018;2
10635;1007;3
10638;1003;3
10642;989;2
10646;987;3
10649;976;4
10653;971;2
10656;969;2
10660;967;3
10664;959;3
10667;958;3
10671;955;3
10675;958;1
10678;955;3
10682;955;1
10686;955;2
10689;953;1
10693;952;3
10697;952;3
10700;952;4
10704;952;4
10708;951;2
