Column1;Column2;Column3
10200;4095;8
10203;4095;9
10207;4095;7
10211;4095;17
10214;4095;8
10218;4095;7
10222;4095;8
10225;4095;9
10229;4095;17
10233;4095;7
10236;4095;8
10240;4095;8
10244;4095;8
10247;4095;7
10251;4095;7
10255;4095;8
10258;4095;7
10262;4095;7
10265;4095;5
10269;4095;5
10273;4095;1
10276;4095;2
10280;4095;2
10284;4095;1
10287;4095;3
10291;4095;3
10295;4095;3
10298;4095;2
10302;4095;2
10306;4095;3
10309;4095;2
10313;4095;2
10316;4095;2
10320;4095;2
10324;4095;1
10327;4095;1
10331;4095;2
10335;4095;0
10338;4095;1
10342;4095;1
10346;4095;2
10349;4095;2
10353;4095;2
10357;4095;1
10360;4095;2
10364;4095;0
10368;4095;2
10371;4095;2
10375;4095;1
10378;4095;1
10382;4095;0
10386;4095;1
10389;4095;1
10393;4095;1
10397;4095;2
10400;4095;2
10404;4095;1
10408;4095;2
10411;4095;0
10415;4095;2
10419;4095;1
10422;4095;2
10426;4095;2
10429;4095;0
10433;4095;1
10437;4095;0
10440;4095;2
10444;4095;0
10448;4095;1
10451;4095;1
10455;4095;0
10459;4095;2
10462;4095;2
10466;4095;1
10470;4095;2
10473;4095;2
10477;4095;2
10481;4088;2
10484;4056;2
10488;4025;1
10491;3982;1
10495;3951;1
10499;3916;1
10502;3865;1
10506;3800;1
10510;3705;1
10513;3624;1
10517;3531;0
10521;3454;1
10524;3385;0
10528;3320;0
10532;3229;1
10535;3131;2
10539;2991;3
10542;2790;2
10546;2479;2
10550;2191;2
10553;1965;1
10557;1709;3
10561;1438;0
10564;1240;1
10568;1114;1
10572;1101;1
10575;1099;1
10579;1096;1
10583;1085;1
10586;1081;1
10590;1070;0
10594;1066;2
10597;1064;0
10601;1054;0
10604;1051;1
10608;1050;1
10612;1048;1
10615;1039;2
10619;1038;1
10623;1037;1
10626;1035;2
10630;1024;1
10634;1024;2
10637;1023;0
10641;1022;2
10645;1021;0
10648;1021;0
10652;1019;2
10656;1019;2
10659;1017;1
10663;1017;2
10666;1016;1
10670;1016;2
10674;1016;0
10677;1016;1
10681;1016;1
10685;1016;1
10688;1007;2
10692;1015;1
10696;1008;2
10699;1015;2
10703;1014;2
10707;1005;1
10710;1006;1
10714;1007;2
10717;1005;1
10721;1004;0
10725;1005;1
10728;1006;1
10732;1007;1
10736;1006;1
10739;1006;0
10743;1005;2
10747;1006;1
10750;1006;3
10754;1006;0
10758;1004;1
10761;1006;1
10765;1006;0
10769;1005;1
10772;1006;1
10776;1006;2
10779;1005;1
10783;1006;2
10787;1005;0
10790;1005;2
10794;1005;1
10798;1006;2
10801;1006;2
10805;1051;0
10809;1097;2
10812;1128;1
10816;1165;0
10820;1191;2
10823;1231;2
10827;1246;1
10830;1276;1
10834;1276;1
10838;1305;2
10841;1306;0
10845;1338;2
10849;1344;2
10852;1341;2
10856;1355;2
10860;1368;0
10863;1374;2
10867;1383;1
10871;1386;2
10874;1373;1
10878;1374;1
10882;1372;2
10885;1368;2
10889;1368;2
10892;1368;2
10896;1356;2
10900;1342;1
10903;1343;2
10907;1356;1
10911;1371;2
10914;1359;1
10918;1371;2
10922;1372;2
10925;1390;3
10929;1400;2
10933;1416;3
10936;1432;0
10940;1433;0
10943;1434;2
10947;1432;0
10951;1448;1
10954;1449;1
10958;1439;0
10962;1452;2
10965;1456;2
10969;1466;1
10973;1467;0
10976;1471;1
10980;1485;2
10984;1497;1
10987;1528;1
10991;1528;1
10995;1532;1
10998;1579;4
11002;1517;0
11005;1420;1
11009;1738;2
11013;1800;1
11016;2139;2
11020;2571;3
11024;2923;2
11027;3128;2
11031;3262;2
11035;3355;3
11038;3438;2
11042;3544;2
11046;3613;1
11049;3707;1
11053;3789;2
11057;3851;2
11060;3903;2
11064;3949;2
11067;3983;1
11071;4015;2
11075;4045;1
11078;4073;3
11082;4094;1
11086;4095;7
11089;4095;7
11093;4095;7
11097;4095;8
11100;4095;18
11104;4095;24
11108;4095;28
11111;4095;46
11115;4095;188
11118;4095;268
11122;4095;312
11126;4095;345
11129;4095;376
11133;4095;408
11137;4095;427
11140;4095;444
11144;4095;459
11148;4095;462
11151;4095;473
11155;4095;473
11159;4095;474
11162;4095;472
11166;4095;472
11170;4095;462
11173;4095;460
11177;4095;457
11180;4095;448
11184;4095;442
11188;4095;430
11191;4095;415
11195;4095;399
11199;4095;381
11202;4095;361
11206;4095;330
11210;4095;296
11213;4095;238
11217;4095;152
11221;4095;62
11224;4095;42
11228;4095;31
11231;4095;28
11235;4095;24
11239;4095;23
11242;4095;20
11246;4095;19
11250;4095;18
11253;4095;19
11257;4095;18
11261;4095;19
11264;4095;10
11268;4095;8
11272;4095;6
11275;4095;7
11279;4095;7
11283;4095;6
11286;4095;6
11290;4095;5
11293;4095;5
11297;4095;5
11301;4095;5
11304;4095;4
11308;4095;4
11312;4095;2
11315;4095;5
11319;4095;4
11323;4095;3
11326;4095;3
11330;4095;4
11334;4095;4
11337;4095;4
11341;4095;3
11345;4095;5
11348;4095;3
11352;4095;5
11355;4095;3
11359;4095;4
11363;4095;3
11366;4095;3
11370;4095;5
11374;4095;3
11377;4095;4
11381;4095;5
11385;4095;4
11388;4095;2
11392;4095;4
11396;4095;4
11399;4095;3
11403;4095;3
11406;4095;3
11410;4095;3
11414;4095;3
11417;4095;3
11421;4095;3
11425;4095;2
11428;4095;3
11432;4095;3
11436;4095;4
11439;4095;2
11443;4095;2
11447;4095;4
11450;4095;3
11454;4095;3
11458;4095;3
11461;4095;2
11465;4095;1
11468;4095;2
11472;4095;1
11476;4095;2
